method,recipe_name,fold,threshold,num_orderings,mean_f1,min_f1,max_f1,delta_f1,mean_pairwise_jaccard,exact_match_rate,flip_rate,num_zero_predicted_positive_orderings
entail_prev,microwaveeggsandwich,0,1.0,10,0.13571428571428573,0.0,0.28571428571428575,0.28571428571428575,0.4262962962962963,0.0,0.38461538461538464,0
entail_prev,microwavefrenchtoast,2,0.4000000059604645,10,0.46090909090909093,0.3636363636363636,0.5454545454545454,0.18181818181818182,0.7286772486772487,0.0,0.4166666666666667,0
entail_prev,microwavemugpizza,1,0.4000000059604645,10,0.4840729274165807,0.3529411764705882,0.5263157894736842,0.17337461300309598,0.741005291005291,0.0,0.3333333333333333,0
entail_prev,mugcake,4,0.4000000059604645,10,0.23015740933361067,0.09523809523809522,0.3809523809523809,0.28571428571428564,0.5384616001282668,0.0,0.42857142857142855,0
entail_prev,panfriedtofu,3,0.4000000059604645,10,0.4406644080557124,0.36363636363636365,0.5,0.13636363636363635,0.7646825396825396,0.0,0.2,0
entail_prev,pinwheels,0,1.0,9,0.3707729468599034,0.3478260869565218,0.4166666666666667,0.0688405797101449,0.8247354497354498,0.0,0.25,0
entail_prev,ramen,4,0.4000000059604645,10,0.47080808080808084,0.3333333333333333,0.6666666666666665,0.3333333333333332,0.584320987654321,0.0,0.5,0
entail_prev,sautedmushrooms,1,0.4000000059604645,10,0.5967441330599226,0.5,0.6666666666666667,0.16666666666666674,0.7260622093955427,0.0,0.42105263157894735,0
entail_prev,scrambledeggs,2,0.4000000059604645,10,0.3625021545959761,0.27272727272727276,0.4545454545454545,0.1818181818181817,0.5295903479236812,0.0,0.5833333333333334,0
entail_prev,spicedhotchocolate,3,0.4000000059604645,6,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.0,1.0,0.0,0.0,0
entail_prev,spicytunaavocadowraps,3,0.4000000059604645,10,0.25987179487179485,0.15384615384615383,0.42857142857142855,0.27472527472527475,0.4638095238095238,0.0,0.4444444444444444,0
entail_prev,tomatochutney,2,0.4000000059604645,10,0.46022134387351776,0.3636363636363636,0.56,0.19636363636363646,0.48250440917107584,0.0,0.5,0
entail_prev,tomatomozzarellasalad,1,0.4000000059604645,10,0.2878787878787879,0.18181818181818182,0.33333333333333337,0.15151515151515155,0.6185185185185185,0.0,0.2,0
entail_prev,zoodles,3,0.4000000059604645,10,0.38322153422772615,0.25,0.5263157894736842,0.2763157894736842,0.5273809523809524,0.0,0.5,0
entail_base,blenderbananapancakes,1,1.0,10,0.4331868131868132,0.4,0.4615384615384615,0.061538461538461486,0.888047138047138,0.0,0.2,0
entail_base,breakfastburritos,0,1.0,10,0.589010989010989,0.5714285714285715,0.6153846153846153,0.0439560439560438,0.9143434343434345,0.0,0.16666666666666666,0
entail_base,broccolistirfry,0,1.0,10,0.4979146141215107,0.42857142857142855,0.5517241379310345,0.12315270935960593,0.9042120551924473,0.0,0.15384615384615385,0
entail_base,buttercorncup,2,1.0,10,0.7102941176470587,0.7058823529411764,0.75,0.044117647058823595,0.98,0.0,0.07692307692307693,0
entail_base,capresebruschetta,2,1.0,10,0.4593406593406593,0.4285714285714285,0.5,0.07142857142857151,0.888641975308642,0.0,0.16666666666666666,0
entail_base,cheesepimiento,1,1.0,10,0.6871428571428572,0.5714285714285715,0.7999999999999999,0.22857142857142843,0.7992063492063493,0.0,0.25,0
entail_base,coffee,3,1.0,10,0.7,0.7,0.7,0.0,1.0,0.0,0.0,0
entail_base,cucumberraita,4,1.0,10,0.1919191919191919,0.0,0.2222222222222222,0.2222222222222222,0.7313932980599647,0.0,0.5,0
entail_base,dressedupmeatballs,0,1.0,10,0.4771241830065359,0.4444444444444444,0.5,0.05555555555555558,0.782962962962963,0.0,0.23529411764705882,0
entail_base,herbomeletwithfriedtomatoes,4,1.0,10,0.7577263316393751,0.7272727272727272,0.7826086956521738,0.055335968379446654,0.887979797979798,0.0,0.1875,0
entail_base,microwaveeggsandwich,0,1.0,10,0.22833333333333333,0.2,0.25,0.04999999999999999,0.8755555555555555,0.0,0.15384615384615385,0
