method,recipe_name,edge_violated,violation_effect_v,normalized_effect_v,exceeds_noise_v,correct_direction_v,violation_effect_u,normalized_effect_u,exceeds_noise_u,correct_direction_u
ares,microwavemugpizza,9->13,0.038461536169052124,0.29729726149750463,False,True,0.11538460850715637,0.8918917331276031,False,True
ares,microwavemugpizza,5->15,0.0,0.0,False,False,0.0,0.0,False,False
ares,mugcake,7->1,0.023102309554815292,0.21212119657351364,False,True,0.17491750419139862,0.22844829498795766,False,True
ares,mugcake,12->2,0.2541254460811615,0.5789473929885071,False,True,0.0,0.0,False,False
ares,mugcake,2->5,0.0,0.0,False,False,0.3861386328935623,0.8796992127048795,False,True
ares,mugcake,10->8,0.09240919351577759,0.13145533178657126,False,True,0.033003296703100204,0.03906249655528874,False,True
ares,mugcake,13->9,0.0033003301359713078,0.03846153887898038,False,True,0.013201320543885231,0.13333333709587653,False,True
ares,mugcake,16->12,0.0,0.0,False,False,0.0,0.0,False,False
ares,mugcake,18->13,0.013201320543885231,0.13333333709587653,False,True,-0.27062709024176,0.5000000714080256,False,False
ares,mugcake,1->14,0.023102309554815292,0.16279069584300218,False,True,0.023102309554815292,0.21212119657351364,False,True
ares,mugcake,4->15,0.008580857887864113,0.2363636205049839,False,True,0.0,0.0,False,False
ares,mugcake,19->16,0.0,0.0,False,False,-0.0033003296703100204,0.028571425346391552,False,False
ares,mugcake,5->18,-0.0627062707208097,0.11585366346778901,False,False,0.0,0.0,False,False
ares,mugcake,14->19,0.013201320543885231,0.11428571751075131,False,True,0.023102309554815292,0.16279069584300218,False,True
ares,mugcake,15->20,0.27062708139419556,0.3565217416909555,False,True,0.006600659806281328,0.18181816665917577,False,True
ares,mugcake,9->21,0.0,0.0,False,False,0.0033003301359713078,0.03846153887898038,False,True
ares,panfriedtofu,5->2,0.10999998450279236,0.5076922882502581,False,True,0.18000000715255737,0.2797927389132357,False,True
ares,panfriedtofu,8->4,0.0,,False,False,0.0833333358168602,0.287356309140906,False,True
ares,panfriedtofu,19->5,0.23333331942558289,0.3626942551533848,False,True,0.2900000512599945,0.40092173227524375,False,True
ares,panfriedtofu,18->6,-0.10533332824707031,0.2106666706204417,False,False,-0.03999999165534973,0.09554137758370598,False,False
ares,panfriedtofu,15->7,0.031999990344047546,0.13521122911860303,False,True,-0.017999999225139618,0.1285714216340258,False,False
ares,panfriedtofu,16->8,0.06733333691954613,0.23218390323248297,False,True,0.09533336758613586,0.13816430431065768,False,True
ares,panfriedtofu,14->9,-0.04200000315904617,0.29166670116009685,False,False,0.6553333401679993,1.0558540309641518,True,True
ares,panfriedtofu,3->10,0.04666666314005852,0.6086955951326071,False,True,0.0,0.0,False,False
ares,panfriedtofu,6->11,0.49999998323619366,1.7441862007918547,True,True,0.08000002056360245,0.16000005185604443,False,True
ares,panfriedtofu,11->13,-0.23733335733413696,0.9621622470628604,False,False,0.5166666507720947,1.8023257457997433,True,True
ares,panfriedtofu,7->14,0.15533334016799927,0.2502685630452784,False,True,0.2146666613407433,0.9070422465320505,False,True
ares,panfriedtofu,10->15,0.018000001087784767,0.12857143493863385,False,True,-0.056666672229766846,0.7391304939365556,False,False
ares,panfriedtofu,13->16,0.039333343505859375,0.05700484708870716,False,True,-0.25333327054977417,1.0270267592632867,True,False
ares,panfriedtofu,2->18,0.1679999902844429,0.4012738463578701,False,True,-0.030000030994415283,0.1384616957173001,False,False
ares,panfriedtofu,1->19,0.04333341121673584,0.05990794213630492,False,True,0.0,0.0,False,False
ares,panfriedtofu,9->20,0.0066666677594184875,0.03448276526508396,False,True,-0.7066667228937149,4.907408009126134,True,False
ares,pinwheels,14->1,0.1100000012665987,0.8918918906673626,False,True,0.0,0.0,False,False
ares,pinwheels,1->3,0.03333333507180214,0.3125000087311489,False,True,0.12333333492279053,1.0,False,True
ares,pinwheels,7->4,0.019999999552965164,0.5454544992732636,False,True,0.06333333626389503,1.7272726995639582,True,True
ares,pinwheels,18->5,0.08333333674818277,0.27472526625666166,False,True,-0.25999999046325684,1.0540540018074707,True,False
ares,pinwheels,11->7,0.07733333669602871,2.109090869375007,True,True,0.06666666455566883,2.8571418421916452,True,True
ares,pinwheels,5->8,0.0,0.0,False,False,0.09000000357627869,0.2967032871887593,False,True
ares,pinwheels,3->9,0.9433333873748779,1.0071174945635155,True,True,-0.7999999783933163,7.499999615829447,True,False
ares,pinwheels,17->10,0.013333328068256378,0.12121206579458303,False,True,-0.08666667342185974,0.7926829599671205,False,False
ares,pinwheels,19->11,0.0033333301544189453,0.1428569603940036,False,True,0.043333329260349274,0.7222221256406257,False,True
ares,pinwheels,13->12,0.12000000476837158,2.7692259021146772,True,True,0.19999998807907104,1.8750003667083572,True,True
ares,pinwheels,16->13,0.15666665881872177,1.468750301224722,True,True,-0.019999995827674866,0.26086960747022697,False,False
ares,pinwheels,8->14,0.0,0.0,False,False,0.0,0.0,False,False
ares,pinwheels,10->15,0.059999994933605194,0.4736842043346971,False,True,-0.44999998807907104,4.09090872761634,True,False
ares,pinwheels,4->17,0.005333326756954193,0.048780425892151126,False,True,-0.10000000521540642,2.727272699563958,True,False
ares,pinwheels,12->19,0.06666666269302368,1.1111110007321436,True,True,0.029999971389770508,0.6923057877840042,False,True
ares,pinwheels,9->20,0.0,0.0,False,False,0.3200000524520874,0.34163706638495944,False,True
ares,pinwheels,15->6,0.03333333134651184,0.2777777501830359,False,True,-0.10000000149011612,0.7894737523183316,False,False
ares,ramen,9->1,0.0,0.0,False,False,0.0,0.0,False,False
ares,ramen,1->2,-0.010380622930824757,0.022727272541906186,False,False,0.0,0.0,False,False
ares,ramen,8->4,0.12802768871188164,0.21893491912087304,False,True,-0.013840839266777039,0.023668652623478798,False,False
ares,ramen,15->8,0.16262975335121155,0.27810648358234924,False,True,-0.11764705181121826,0.25563910796937717,False,False
ares,ramen,3->11,0.23875433206558228,0.4791666903420943,False,True,0.013840794563293457,0.12499959627192109,False,True
ares,ramen,4->12,0.05536332726478577,0.11940299946458792,False,True,0.0968858189880848,0.16568048019558862,False,True
ares,ramen,10->13,0.8546712547540665,1.3208555934219957,True,True,0.138408362865448,0.8163265521354464,False,True
ares,ramen,11->15,0.1937716214451939,0.4210526629729426,False,True,0.1833910122513771,0.3680555808924167,False,True
ares,ramen,2->16,0.0,0.0,False,False,0.0,0.0,False,False
ares,sautedmushrooms,2->1,0.06040281057357788,1.0000029603666118,True,True,0.12080536782741547,0.7826086883072254,False,True
ares,sautedmushrooms,5->3,-0.9026845060288906,4.890908841724728,True,False,0.0,0.0,False,False
ares,sautedmushrooms,11->4,0.1409396529197693,0.37837861624552144,False,True,0.0,0.0,False,False
ares,sautedmushrooms,9->5,0.0,0.0,False,False,0.12080532312393188,0.29752051678849173,False,True
ares,sautedmushrooms,10->6,0.3154362440109253,1.709090392372985,True,True,0.06711417436599731,0.5882366155271952,False,True
ares,sautedmushrooms,14->7,0.19463089108467102,0.2900000472918185,False,True,0.0,0.0,False,False
ares,sautedmushrooms,4->9,0.6677851676940918,1.6446277619092495,True,True,0.34228187799453735,0.9189191308369191,False,True
ares,sautedmushrooms,1->10,0.040268540382385254,0.35294228276695416,False,True,0.845637634396553,14.000013074952536,True,True
ares,sautedmushrooms,6->11,-0.034899331629276276,0.305882378293775,False,False,0.07382559776306152,0.400000387538443,False,True
