dataset,method,recipe_name,threshold,num_orderings,ground_truth_error_node_ids,mean_pairwise_jaccard,frac_orderings_exact_match_gt,mean_recall,mean_precision
captaincookrecipes,entail_base,cucumberraita,1.0,10,12;4;6,0.7313932980599647,0.0,0.3,0.14166666666666666
captaincookrecipes,entail_base,dressedupmeatballs,1.0,10,10;12;13;14;17;2;5;7;8,0.782962962962963,0.0,0.4444444444444445,0.5174603174603174
captaincookrecipes,entail_base,herbomeletwithfriedtomatoes,1.0,10,1;10;11;14;16;2;3;4;6;7;8;9,0.887979797979798,0.0,0.6916666666666667,0.8410101010101011
captaincookrecipes,entail_base,microwaveeggsandwich,1.0,10,13;2;7;9,0.8755555555555555,0.0,0.25,0.21166666666666667
captaincookrecipes,entail_base,microwavefrenchtoast,1.0,10,1;10;13;3;7;8,0.9333333333333333,0.0,0.7166666666666666,0.680952380952381
captaincookrecipes,entail_base,microwavemugpizza,1.0,10,1;10;11;12;14;15;2;3;4;5;7,1.0,0.0,0.909090909090909,0.7142857142857143
captaincookrecipes,entail_base,mugcake,1.0,10,1;12;13;14;15;16;18;19;2;20;21;3;5;7;9,0.9492063492063493,0.0,0.6133333333333333,0.7428571428571429
captaincookrecipes,entail_base,panfriedtofu,1.0,10,10;11;13;14;15;16;17;18;2;20;3;4;6;7;8;9,0.9141025641025642,0.0,0.65,0.8752913752913752
captaincookrecipes,entail_base,pinwheels,1.0,9,1;10;11;12;14;15;17;18;19;2;20;3;4;5;6;7;8;9,0.932121459694989,0.0,0.7962962962962963,0.8771423384168482
captaincookrecipes,entail_base,ramen,1.0,10,1;16;2;9,0.8556902356902357,0.0,0.925,0.38267676767676767
captaincookrecipes,entail_base,sautedmushrooms,1.0,10,11;12;13;15;16;17;18;19;3;4;5;8;9,1.0,0.0,0.6923076923076923,0.75
captaincookrecipes,entail_base,scrambledeggs,1.0,10,1;11;13;14;15;16;17;18;21;22;24;3;5;8;9,0.9014521151363256,0.0,0.9133333333333333,0.7108771929824561
captaincookrecipes,entail_base,spicedhotchocolate,1.0,6,1;3;8;9,1.0,0.0,1.0,0.5
captaincookrecipes,entail_base,spicytunaavocadowraps,1.0,10,13;14;16;18;2;6;7;8;9,0.9079901579901579,0.0,0.6666666666666666,0.5372727272727272
captaincookrecipes,entail_base,tomatochutney,1.0,10,1;10;13;14;15;16;18;19;2;20;3;4;5;6;7;8;9,0.8474523007856342,0.0,0.47058823529411764,0.8498989898989899
captaincookrecipes,entail_base,tomatomozzarellasalad,1.0,10,1;10;2;3;4;5;6;7;8;9,0.8492063492063492,0.0,0.59,1.0
captaincookrecipes,entail_base,zoodles,1.0,10,1;10;11;12;13;14;2;3;4;5;6;7;8,0.9206349206349207,0.0,0.4230769230769231,0.8452380952380952
