example_id,node_id,method,num_serializations,mean_score,topodev,topovar,min_score,max_score,score_swing,num_verdict_flips
tomatomozzarellasalad,8,ares,5,0.9766037940979004,0.02269176766349063,0.0005149163196938389,0.9320755004882812,0.99245285987854,0.06037735939025879,0
tomatomozzarellasalad,9,ares,5,0.9954717040061951,0.009056591987609863,8.202185843003918e-05,0.9773585200309753,1.0,0.022641479969024658,0
tomatomozzarellasalad,10,ares,5,0.9796226739883422,0.013202165993384349,0.00017429718691687414,0.9622641801834106,0.99622642993927,0.033962249755859375,0
tomatomozzarellasalad,1,sager,5,0.0,0.0,0.0,0.0,0.0,0.0,0
tomatomozzarellasalad,2,sager,5,0.0,0.0,0.0,0.0,0.0,0.0,0
tomatomozzarellasalad,3,sager,5,0.0,0.0,0.0,0.0,0.0,0.0,0
tomatomozzarellasalad,4,sager,5,0.05,0.0,0.0,0.05,0.05,0.0,0
tomatomozzarellasalad,5,sager,5,0.0,0.0,0.0,0.0,0.0,0.0,0
tomatomozzarellasalad,6,sager,5,0.0,0.0,0.0,0.0,0.0,0.0,0
tomatomozzarellasalad,7,sager,5,0.9499999999999977,1.1102230246251565e-16,1.232595164407831e-32,0.9499999999999976,0.9499999999999976,0.0,0
tomatomozzarellasalad,8,sager,5,0.0,0.0,0.0,0.0,0.0,0.0,0
tomatomozzarellasalad,9,sager,5,0.0,0.0,0.0,0.0,0.0,0.0,0
tomatomozzarellasalad,10,sager,5,0.0,0.0,0.0,0.0,0.0,0.0,0
breakfastburritos,1,ares,5,0.9287272810935974,0.010181808471679687,0.00010366922375396825,0.9236363768577576,0.9490908980369568,0.02545452117919922,0
breakfastburritos,2,ares,5,0.9098181605339051,0.02327272891998291,0.0005416199113830089,0.8981817960739136,0.9563636183738708,0.058181822299957275,0
breakfastburritos,3,ares,5,0.9970909237861634,0.004240686198564979,1.7983419434699497e-05,0.9890909194946289,1.0,0.010909080505371094,0
breakfastburritos,4,ares,5,0.9861817836761475,0.01787377505905037,0.0003194718348615311,0.9563635587692261,1.0,0.043636441230773926,0
breakfastburritos,5,ares,5,0.9207272529602051,0.012470151078877017,0.0001555046679300176,0.8981817364692688,0.9309090971946716,0.03272736072540283,0
breakfastburritos,6,ares,5,0.9774545192718506,0.0014545202255249023,2.1156290864610125e-06,0.9745454788208008,0.978181779384613,0.003636300563812256,0
breakfastburritos,7,ares,5,0.0618181798607111,0.023453839898796597,0.0005500826059983832,0.02181818149983883,0.08727272599935532,0.06545454449951649,0
breakfastburritos,8,ares,5,0.9883635997772217,0.014435920264601321,0.0002083957938859271,0.9672727584838867,1.0,0.03272724151611328,0
breakfastburritos,9,ares,5,0.8149818062782288,0.2036761499242046,0.04148397404794707,0.40799999237060547,0.9309090375900269,0.5229090452194214,1
breakfastburritos,10,ares,5,0.9956363677978516,0.0014545440673828125,2.115698443958536e-06,0.9927272796630859,0.996363639831543,0.0036363601684570312,0
breakfastburritos,11,ares,5,0.9490908980369568,0.03332784608075323,0.0011107453243823784,0.9018181562423706,0.9818181991577148,0.08000004291534424,0
breakfastburritos,12,ares,5,0.9963635683059693,0.005633394169684718,3.1735129871037766e-05,0.9854545593261719,0.9999999403953552,0.01454538106918335,0
breakfastburritos,1,sager,5,0.06,0.0,0.0,0.06,0.06,0.0,0
breakfastburritos,2,sager,5,0.0,0.0,0.0,0.0,0.0,0.0,0
breakfastburritos,3,sager,5,0.0,0.0,0.0,0.0,0.0,0.0,0
breakfastburritos,4,sager,5,0.33,0.0,0.0,0.33,0.33,0.0,0
breakfastburritos,5,sager,5,0.1880000028014183,0.0,0.0,0.1880000028014183,0.1880000028014183,0.0,0
breakfastburritos,6,sager,5,0.9499999999999977,1.1102230246251565e-16,1.232595164407831e-32,0.9499999999999976,0.9499999999999976,0.0,0
breakfastburritos,7,sager,5,0.0,0.0,0.0,0.0,0.0,0.0,0
breakfastburritos,8,sager,5,0.5270000000000011,0.0,0.0,0.5270000000000011,0.5270000000000011,0.0,0
breakfastburritos,9,sager,5,0.0,0.0,0.0,0.0,0.0,0.0,0
breakfastburritos,10,sager,5,0.9499999999999977,1.1102230246251565e-16,1.232595164407831e-32,0.9499999999999976,0.9499999999999976,0.0,0
breakfastburritos,11,sager,5,0.0,0.0,0.0,0.0,0.0,0.0,0
breakfastburritos,12,sager,5,0.0,0.0,0.0,0.0,0.0,0.0,0
