dataset,method,recipe_name,threshold,num_orderings,ground_truth_error_node_ids,mean_pairwise_jaccard,frac_orderings_exact_match_gt,mean_recall,mean_precision
captaincookrecipes,entail_base,buttercorncup,1.0,10,1;10;11;13;14;7;9,0.9266666666666667,0.0,0.7142857142857143,0.538888888888889
captaincookrecipes,entail_base,capresebruschetta,1.0,10,12;4;5;7,0.9444444444444444,0.0,0.75,0.31666666666666665
captaincookrecipes,entail_base,cheesepimiento,1.0,10,1;11;12;2;4;5;6;7,0.7657142857142857,0.0,0.7,0.7047619047619047
captaincookrecipes,entail_base,coffee,1.0,10,1;11;13;15;16;17;2;6;8;9,0.9533333333333333,0.0,0.7,0.7233333333333334
captaincookrecipes,entail_base,cucumberraita,1.0,10,12;4;6,0.7461640211640211,0.0,0.3333333333333333,0.17916666666666667
captaincookrecipes,entail_base,dressedupmeatballs,1.0,10,10;12;13;14;17;2;5;7;8,0.8292063492063493,0.0,0.3333333333333333,0.5378571428571428
captaincookrecipes,entail_base,herbomeletwithfriedtomatoes,1.0,10,1;10;11;14;16;2;3;4;6;7;8;9,0.9094949494949496,0.0,0.5916666666666667,0.8383333333333333
captaincookrecipes,entail_base,microwaveeggsandwich,1.0,10,13;2;7;9,0.9274074074074075,0.0,0.25,0.20166666666666666
captaincookrecipes,entail_base,microwavefrenchtoast,1.0,10,1;10;13;3;7;8,0.9333333333333333,0.0,0.7833333333333334,0.7
captaincookrecipes,entail_base,microwavemugpizza,1.0,10,1;10;11;12;14;15;2;3;4;5;7,1.0,0.0,0.909090909090909,0.7142857142857143
captaincookrecipes,entail_base,mugcake,1.0,10,1;12;13;14;15;16;18;19;2;20;21;3;5;7;9,0.9335775335775337,0.0,0.6266666666666667,0.7461538461538462
captaincookrecipes,entail_base,panfriedtofu,1.0,10,10;11;13;14;15;16;17;18;2;20;3;4;6;7;8;9,0.858047138047138,0.0,0.4625,0.8247222222222221
captaincookrecipes,entail_base,pinwheels,1.0,9,1;10;11;12;14;15;17;18;19;2;20;3;4;5;6;7;8;9,0.932121459694989,0.0,0.7962962962962963,0.8771423384168482
captaincookrecipes,entail_base,ramen,1.0,10,1;16;2;9,0.84989898989899,0.0,0.875,0.36303030303030304
captaincookrecipes,entail_base,sautedmushrooms,1.0,10,11;12;13;15;16;17;18;19;3;4;5;8;9,0.9611111111111111,0.0,0.6923076923076923,0.7704545454545455
captaincookrecipes,entail_base,scrambledeggs,1.0,10,1;11;13;14;15;16;17;18;21;22;24;3;5;8;9,0.9106182121971594,0.0,0.8200000000000001,0.6766443068455452
captaincookrecipes,entail_base,spicedhotchocolate,1.0,6,1;3;8;9,1.0,0.0,1.0,0.5
captaincookrecipes,entail_base,spicytunaavocadowraps,1.0,10,13;14;16;18;2;6;7;8;9,0.9525252525252524,0.0,0.7777777777777778,0.6321212121212121
captaincookrecipes,entail_base,tomatochutney,1.0,10,1;10;13;14;15;16;18;19;2;20;3;4;5;6;7;8;9,0.9466666666666667,0.0,0.5294117647058824,0.9400000000000001
captaincookrecipes,entail_base,tomatomozzarellasalad,1.0,10,1;10;2;3;4;5;6;7;8;9,0.8592592592592592,0.0,0.5700000000000001,1.0
captaincookrecipes,entail_base,zoodles,1.0,10,1;10;11;12;13;14;2;3;4;5;6;7;8,0.9238095238095237,0.0,0.4153846153846154,0.8428571428571429
